,title,link
67,"[보도자료] 이창용 한국은행 총재, BIS 연차총회 참석",https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10085310&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=7&programType=newsData&menuNo=201265&oldMenuNo=201263
68,「금융안정보고서」(2024년 6월),https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10085313&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=7&programType=newsData&menuNo=201265&oldMenuNo=201263
69,2020년 고용표 작성 결과,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10085276&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=7&programType=newsData&menuNo=201264&oldMenuNo=201263
70,2023년 지역별·통화별 국제투자대조표(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10085264&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201264&oldMenuNo=201263
71,2024년 6월 소비자동향조사 결과,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084772&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201264&oldMenuNo=201263
72,「지역경제보고서」(2024년 6월),https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10085215&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201265&oldMenuNo=201263
73,한국은행 홈페이지 개편,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10085165&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201265&oldMenuNo=201263
74,2024년 5월중 거주자외화예금 동향,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084757&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201265&oldMenuNo=201263
75,[보도참고자료] 2024년 6월 외환당국 국민연금과의 외환스왑 거래 한도 증액 합의,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084767&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201265&oldMenuNo=201263
76,2024년 5월 생산자물가지수(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084758&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201264&oldMenuNo=201263
77,2024년 1/4분기 기업경영분석,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084718&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201264&oldMenuNo=201263
78,[보도자료] 2024년 BOK 지역경제 심포지엄 개최,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084698&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201265&oldMenuNo=201263
79,2023년 지역별 국제수지(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084717&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=8&programType=newsData&menuNo=201264&oldMenuNo=201263
80,[보도자료] 물가안정목표 운영상황 점검,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084701&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201265&oldMenuNo=201263
81,[보도자료] 화폐사랑 콘텐츠 공모전 실시,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084679&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201265&oldMenuNo=201263
82,[보도자료] 7월 외환시장 개장시간 연장 이후에도 원활한 거래를 지원해 나가겠습니다.,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084666&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201265&oldMenuNo=201263
83,2024년 4월 통화 및 유동성,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084643&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201264&oldMenuNo=201263
84,2024년 5월 수출입물가지수 및 무역지수(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10084664&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201264&oldMenuNo=201263
85,"[보도자료] 한국은행, 커버드본드를 대출 등의 적격담보에 포함",https://www.bok.or.kr/portal/bbs/P0000559/view.do?nttId=10084647&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=200690&oldMenuNo=201263
86,2024년 5월중 금융시장 동향,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084615&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201265&oldMenuNo=201263
87,[보도자료] 2024년 5월 이후 국제금융·외환시장 동향,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10084607&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=9&programType=newsData&menuNo=201265&oldMenuNo=201263
